round,p_aggressive,p_defensive,p_balanced,avg_reward,strategy_entropy,personality_norm,personality_velocity,phase
34,0.25,0.0,0.75,0.9562499999999997,0.5623351444188083,0.013216398037412968,0.005447436019657143,burn-in
35,0.25,0.25,0.5,0.8812499999999998,1.0397207705399178,0.015700857527005806,0.002484459489592838,burn-in
36,0.25,0.75,0.0,0.9562499999999998,0.5623351444188083,0.01342932567906687,0.0022715318479389363,burn-in
37,0.5,0.25,0.25,1.0125,1.0397207705399178,0.013908711548682161,0.0004793858696152918,burn-in
38,0.25,0.5,0.25,0.9375,1.0397207705399178,0.01548859907767294,0.0015798875289907786,burn-in
39,1.0,0.0,0.0,0.9562499999999998,-1.000000082690371e-10,0.01766391488002851,0.0021753158023555715,burn-in
40,0.25,0.5,0.25,0.8812499999999999,1.0397207705399178,0.021283715084021014,0.003619800203992503,burn-in
41,0.5,0.25,0.25,0.9374999999999999,1.0397207705399178,0.019681546718944752,0.001602168365076262,burn-in
42,0.5,0.25,0.25,0.9562499999999999,1.0397207705399178,0.019413671085088603,0.0002678756338561489,burn-in
43,0.75,0.25,0.0,0.9,0.5623351444188083,0.021034868951471095,0.0016211978663824914,burn-in
44,0.75,0.25,0.0,0.91875,0.5623351444188083,0.02373913311332643,0.002704264161855336,burn-in
45,0.25,0.25,0.5,0.9937499999999999,1.0397207705399178,0.02015240327203921,0.0035867298412872207,burn-in
46,0.25,0.5,0.25,0.9374999999999999,1.0397207705399178,0.021855745494288707,0.0017033422222494966,burn-in
47,0.0,0.5,0.5,0.8812499999999999,0.6931471803599453,0.023736289902454105,0.0018805444081653987,burn-in
48,0.5,0.5,0.0,0.9562499999999997,0.6931471803599453,0.027251433448536456,0.0035151435460823513,burn-in
49,0.5,0.5,0.0,1.0124999999999997,0.6931471803599453,0.025636481167794396,0.001614952280742061,burn-in
50,0.5,0.0,0.5,1.0687499999999996,0.6931471803599453,0.027324987610549363,0.0016885064427549674,burn-in
51,0.75,0.0,0.25,1.0874999999999997,0.5623351444188083,0.027682232380777064,0.0003572447702277007,burn-in
52,0.25,0.5,0.25,1.0124999999999997,1.0397207705399178,0.03164747911015646,0.003965246729379396,burn-in
53,0.25,0.5,0.25,1.0875,1.0397207705399178,0.02881533186854624,0.002832147241610218,burn-in
54,0.5,0.5,0.0,1.1062499999999997,0.6931471803599453,0.029195142349465728,0.00037981048091948605,burn-in
55,0.25,0.0,0.75,1.18125,0.5623351444188083,0.025548471429052685,0.003646670920413042,burn-in
56,0.25,0.0,0.75,1.2374999999999996,0.5623351444188083,0.027206993330964026,0.0016585219019113404,burn-in
57,0.25,0.5,0.25,1.2937499999999997,1.0397207705399178,0.02329107967358148,0.003915913657382544,burn-in
58,0.75,0.25,0.0,1.2374999999999996,0.5623351444188083,0.025192324462136605,0.0019012447885551238,burn-in
59,0.75,0.0,0.25,1.1624999999999996,0.5623351444188083,0.028682294976847707,0.003489970514711102,burn-in
60,0.5,0.25,0.25,1.1812499999999997,1.0397207705399178,0.029075131663502635,0.00039283668665492794,burn-in
61,0.25,0.5,0.25,1.2562499999999996,1.0397207705399178,0.025219427655083913,0.003855704008418722,burn-in
